id,gender,age,lengthofservice,entrymethod,2019 status,eNPS,vision,stability,missioncohe,customer,workload,evaluation,salary,growth,boss,colleagues,pa,home.store,jobmeaning,wellfare,clean,culture,influence,reputation,workingtime,promotesalary,autonomy,training,facilities,uniform
1100078,2,41,10,Old,Stay,2,4,2,2,5,1,4,1,6,6,6,6,1,6,1,6,4,4,6,2,2,4,4,4,4
1100079,2,39,10,Old,Stay,2,4,3,4,6,4,2,1,3,4,4,4,4,5,1,4,3,6,6,4,1,2,1,1,4
1100080,2,35,10,Old,Stay,2,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,3,4
1100082,2,39,10,Old,Stay,4,4,5,4,4,4,4,2,5,5,5,5,3,4,2,4,4,4,6,3,2,5,3,4,4
1100083,1,35,10,Old,Stay,4,4,3,3,6,5,6,3,7,5,7,5,3,7,3,4,6,5,6,3,2,6,2,3,4
1100084,1,41,10,Old,Stay,4,5,4,3,4,1,4,2,3,3,3,3,4,3,2,4,2,5,5,1,5,5,4,3,4
1100085,2,39,10,Old,Stay,5,4,4,4,4,2,3,2,4,3,4,4,4,4,3,4,4,4,4,1,3,2,4,4,3
1100086,2,35,10,Old,Stay,4,6,3,6,2,1,2,1,6,5,6,4,4,6,1,2,2,6,7,1,2,3,4,1,4
1100087,2,37,10,Old,Stay,7,4,4,4,4,3,4,4,3,3,4,4,3,4,5,3,3,4,5,3,3,3,3,3,4
1100090,1,36,10,Old,Stay,2,4,2,3,4,1,1,1,4,4,4,4,4,4,1,4,2,4,5,2,1,4,1,1,4
1100091,1,38,10,Old,Stay,5,6,2,4,4,4,2,2,6,4,6,4,4,6,4,4,4,4,6,4,2,4,4,4,4
1100093,2,35,10,Old,Stay,2,2,1,4,5,3,5,1,4,4,4,4,4,4,1,4,4,4,6,1,1,4,4,4,4
1100096,1,44,10,Old,Stay,8,6,4,6,6,4,5,4,6,6,4,7,5,6,4,4,5,5,7,2,4,4,5,2,6
1100098,2,38,10,Old,Stay,3,4,3,4,4,3,4,3,4,4,5,4,4,5,3,4,4,4,4,3,3,5,3,3,4
1100099,2,39,10,Old,Stay,5,4,5,5,6,3,4,3,6,6,6,6,5,4,2,3,4,4,5,2,5,3,4,5,5
1100100,2,51,10,Old,Stay,2,1,1,2,6,4,6,3,5,6,6,6,6,6,2,3,6,5,6,4,2,6,3,1,4
1100101,1,37,9,Old,Stay,5,4,4,5,6,3,5,3,5,5,6,6,4,6,4,3,4,4,3,3,3,4,5,4,4
1100102,1,45,9,Old,Stay,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4
1100105,2,39,9,Old,Stay,3,4,2,3,3,3,3,2,3,4,4,4,3,3,2,4,4,4,4,2,3,3,4,4,4
1100106,2,33,9,Old,Stay,0,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,4,7,4,6,5,6,4
1100107,2,33,9,Old,Stay,4,5,3,4,5,3,5,3,6,6,5,5,4,5,3,3,5,5,6,3,4,3,3,3,4
1100108,1,47,9,Old,Stay,3,5,3,4,4,1,4,2,4,6,6,6,2,4,4,4,2,4,4,1,5,4,2,1,4
1100110,1,37,9,Old,Stay,6,5,3,6,6,2,5,5,3,5,5,7,3,5,3,5,5,5,6,1,5,2,6,6,6
1100111,2,46,9,Old,Stay,7,5,3,4,5,3,4,3,3,4,4,4,4,5,3,3,3,3,5,3,3,4,4,4,4
1100113,2,31,9,Old,Stay,8,7,6,5,5,5,6,6,5,7,6,6,5,6,6,4,6,6,6,6,4,4,4,5,4
1100114,2,41,9,Old,Stay,1,2,1,3,4,1,3,1,4,2,1,4,2,4,3,4,4,4,4,1,1,2,3,4,4
1100115,2,36,9,Old,Stay,1,4,1,4,4,1,4,2,2,4,4,4,4,4,4,4,2,2,4,1,1,4,4,1,4
1100116,2,43,9,Old,Stay,3,4,3,4,4,2,4,1,4,4,4,4,4,4,3,4,3,4,4,1,3,4,4,2,4
1100117,2,47,9,Old,Stay,3,4,3,4,7,3,2,3,4,2,4,4,3,5,2,2,4,4,6,2,3,4,3,5,4
